Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\Allie and Jayda.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,4:1,BLK,2/27/2023 18:03,Cu 327.395,Cu,,0,0,ppm,261.61,-,-,3.11,1.19,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,0,0,0,264.71,258.49,261.64,,,
Blank,4:1,BLK,2/27/2023 18:03,Fe 238.204,Fe,,0,0,ppm,46.74,-,-,7.48,16,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,0,0,0,42.5,55.37,42.33,,,
Blank,4:1,BLK,2/27/2023 18:03,Pb 217.000,Pb,,0,0,ppm,6.34,-,-,1.54,24.28,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,0,0,0,7.23,4.56,7.22,,,
Standard 1,4:2,STD,2/27/2023 18:04,Cu 327.395,Cu,,0.1,0.1,ppm,1313.16,-,-,14.76,1.12,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,0.1,0.1,0.1,1325.06,1317.79,1296.63,,,
Standard 1,4:2,STD,2/27/2023 18:04,Fe 238.204,Fe,,0.1,0.1,ppm,2577.04,-,-,13.13,0.51,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,0.1,0.1,0.1,2565.48,2591.31,2574.34,,,
Standard 1,4:2,STD,2/27/2023 18:04,Pb 217.000,Pb,,0.1,0.1,ppm,93.32,-,-,2.71,2.9,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,0.1,0.1,0.1,90.96,92.72,96.27,,,
Standard 2,4:3,STD,2/27/2023 18:06,Cu 327.395,Cu,,0.5,0.5,ppm,8386.61,-,-,34.27,0.41,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,0.5,0.5,0.5,8420.33,8387.67,8351.82,,,
Standard 2,4:3,STD,2/27/2023 18:06,Fe 238.204,Fe,,0.5,0.5,ppm,28453.96,-,-,77.64,0.27,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,0.5,0.5,0.5,28366.53,28480.5,28514.84,,,
Standard 2,4:3,STD,2/27/2023 18:06,Pb 217.000,Pb,,0.5,0.5,ppm,780.46,-,-,12.87,1.65,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,0.5,0.5,0.5,766.02,784.61,790.74,,,
Standard 3,4:4,STD,2/27/2023 18:07,Cu 327.395,Cu,,1,1,ppm,11353.14,-,-,95.2,0.84,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,1,1,1,11462.95,11302.84,11293.65,,,
Standard 3,4:4,STD,2/27/2023 18:07,Fe 238.204,Fe,,1,1,ppm,31714.85,-,-,227.99,0.72,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,1,1,1,31945.82,31708.78,31489.96,,,
Standard 3,4:4,STD,2/27/2023 18:07,Pb 217.000,Pb,,1,1,ppm,799.27,-,-,10.03,1.25,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,1,1,1,810.61,795.63,791.56,,,
Standard 4,4:5,STD,2/27/2023 18:09,Cu 327.395,Cu,,2,2,ppm,45329.13,-,-,154.48,0.34,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,2,2,2,45507.03,45228.83,45251.53,,,
Standard 4,4:5,STD,2/27/2023 18:09,Fe 238.204,Fe,,2,2,ppm,47032.17,-,-,142.23,0.3,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,2,2,2,47194.73,46930.59,46971.2,,,
Standard 4,4:5,STD,2/27/2023 18:09,Pb 217.000,Pb,,2,2,ppm,1201.37,-,-,4.66,0.39,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,2,2,2,1206.75,1198.85,1198.52,,,
Standard 5,4:6,STD,2/27/2023 18:11,Cu 327.395,Cu,,4,4,ppm,39360.43,-,-,126.83,0.32,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,4,4,4,39472.44,39386.14,39222.71,,,
Standard 5,4:6,STD,2/27/2023 18:11,Fe 238.204,Fe,,4,4,ppm,118838.27,-,-,399.31,0.34,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,4,4,4,119098.2,119038.13,118378.49,,,
Standard 5,4:6,STD,2/27/2023 18:11,Pb 217.000,Pb,,4,4,ppm,1835.75,-,-,10.61,0.58,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,4,4,4,1825.02,1846.24,1836,,,
Standard 6,4:7,STD,2/27/2023 18:12,Cu 327.395,Cu,,6,6,ppm,132238.03,-,-,854.32,0.65,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,6,6,6,131327.17,133021.52,132365.39,,,
Standard 6,4:7,STD,2/27/2023 18:12,Fe 238.204,Fe,,6,6,ppm,75933.56,-,-,400.33,0.53,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,6,6,6,75543.06,76343.06,75914.57,,,
Standard 6,4:7,STD,2/27/2023 18:12,Pb 217.000,Pb,,6,6,ppm,4011.37,-,-,7.25,0.18,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,6,6,6,4019.58,4008.7,4005.84,,,
Standard 7,4:8,STD,2/27/2023 18:14,Cu 327.395,Cu,,8,8,ppm,94471.3,-,-,404.66,0.43,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,8,8,8,94684.27,94725.02,94004.63,,,
Standard 7,4:8,STD,2/27/2023 18:14,Fe 238.204,Fe,,8,8,ppm,183661.78,-,-,761.3,0.41,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,8,8,8,183891.14,184282.02,182812.16,,,
Standard 7,4:8,STD,2/27/2023 18:14,Pb 217.000,Pb,,8,8,ppm,3196.47,-,-,14.77,0.46,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,8,8,8,3210.91,3181.38,3197.12,,,
Standard 8,4:9,STD,2/27/2023 18:15,Cu 327.395,Cu,,10,10,ppm,109634.16,-,-,317.16,0.29,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,10,10,10,109501.42,109404.94,109996.12,,,
Standard 8,4:9,STD,2/27/2023 18:15,Fe 238.204,Fe,,10,10,ppm,206671.14,-,-,646.47,0.31,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,10,10,10,206356.43,206242.27,207414.7,,,
Standard 8,4:9,STD,2/27/2023 18:15,Pb 217.000,Pb,,10,10,ppm,3984.89,-,-,12.97,0.33,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,10,10,10,3980.23,3974.89,3999.54,,,
Standard 9,4:10,STD,2/27/2023 18:17,Cu 327.395,Cu,,25,25,ppm,117392.24,-,-,1129.56,0.96,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,25,25,25,118536.02,117363.23,116277.46,,,
Standard 9,4:10,STD,2/27/2023 18:17,Fe 238.204,Fe,,25,25,ppm,190376.16,-,-,1706.22,0.9,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,25,25,25,192075.4,190390.05,188663.04,,,
Standard 9,4:10,STD,2/27/2023 18:17,Pb 217.000,Pb,,25,25,ppm,6252.79,-,-,57.79,0.92,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,25,25,25,6315.02,6242.55,6200.81,,,
Standard 10,4:11,STD,2/27/2023 18:19,Cu 327.395,Cu,,50,50,ppm,506173.46,-,-,1849.81,0.37,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,50,50,50,507662.41,504102.69,506755.28,,,
Standard 10,4:11,STD,2/27/2023 18:19,Fe 238.204,Fe,,50,50,ppm,825667.88,-,-,3004.02,0.36,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,50,50,50,827847.17,822241.11,826915.35,,,
Standard 10,4:11,STD,2/27/2023 18:19,Pb 217.000,Pb,,50,50,ppm,25788.65,-,-,105.37,0.41,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,50,50,50,25910.07,25721.26,25734.62,,,
Sample 1,4:12,Sample,2/27/2023 18:20,Cu 327.395,Cu,,Uncal,Uncal,ppm,22105.22,-,-,97.71,0.44,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,22191.21,21998.97,22125.46,Uncal,Uncal,Uncal
Sample 1,4:12,Sample,2/27/2023 18:20,Fe 238.204,Fe,,Uncal,Uncal,ppm,29236.33,-,-,119.74,0.41,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,29329.95,29101.41,29277.64,Uncal,Uncal,Uncal
Sample 1,4:12,Sample,2/27/2023 18:20,Pb 217.000,Pb,,Uncal,Uncal,ppm,792.97,-,-,15.23,1.92,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,810.25,781.52,787.13,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Cu 327.395,Cu,,Uncal,Uncal,ppm,84.36,-,-,24.48,29.02,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,60.93,82.4,109.77,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Fe 238.204,Fe,,Uncal,Uncal,ppm,70.92,-,-,10.33,14.56,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,67.19,62.98,82.6,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Pb 217.000,Pb,,Uncal,Uncal,ppm,14.02,-,-,6.63,47.27,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,16.69,18.88,6.47,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Cu 327.395,Cu,,Uncal,Uncal,ppm,10479.47,-,-,21.69,0.21,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,10463.3,10504.11,10471,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Fe 238.204,Fe,,Uncal,Uncal,ppm,13610.96,-,-,34.97,0.26,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,13592.69,13651.28,13588.9,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Pb 217.000,Pb,,Uncal,Uncal,ppm,369.29,-,-,3.34,0.9,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,367.06,367.69,373.14,Uncal,Uncal,Uncal
