Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\Hollie_Katrina.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,1:1,BLK,2/27/2023 16:17,Cu 327.395,Cu,,0,0,ppm,259.85,-,-,21.61,8.31,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0,0,0,280.9,237.72,260.93,,,
Blank,1:1,BLK,2/27/2023 16:17,Fe 238.204,Fe,,0,0,ppm,38.73,-,-,10.05,25.95,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0,0,0,47.08,41.53,27.57,,,
Blank,1:1,BLK,2/27/2023 16:17,Pb 217.000,Pb,,0,0,ppm,15.89,-,-,6.32,39.76,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0,0,0,10.31,14.62,22.75,,,
Standard 1,1:2,STD,2/27/2023 16:19,Cu 327.395,Cu,,0.1,0.1,ppm,1557.31,-,-,24.66,1.58,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0.1,0.1,0.1,1531.97,1558.74,1581.23,,,
Standard 1,1:2,STD,2/27/2023 16:19,Fe 238.204,Fe,,0.1,0.1,ppm,1488.75,-,-,6.6,0.44,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0.1,0.1,0.1,1496.32,1485.71,1484.21,,,
Standard 1,1:2,STD,2/27/2023 16:19,Pb 217.000,Pb,,0.1,0.1,ppm,45.82,-,-,5.25,11.45,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0.1,0.1,0.1,41.05,44.97,51.44,,,
Standard 2,1:3,STD,2/27/2023 16:21,Cu 327.395,Cu,,0.5,0.5,ppm,5648.72,-,-,18.73,0.33,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0.5,0.5,0.5,5663.18,5655.41,5627.56,,,
Standard 2,1:3,STD,2/27/2023 16:21,Fe 238.204,Fe,,0.5,0.5,ppm,7719.35,-,-,46.77,0.61,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0.5,0.5,0.5,7771.13,7680.16,7706.77,,,
Standard 2,1:3,STD,2/27/2023 16:21,Pb 217.000,Pb,,0.5,0.5,ppm,193.27,-,-,14.09,7.29,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0.5,0.5,0.5,199.85,177.09,202.87,,,
Standard 3,1:4,STD,2/27/2023 16:22,Cu 327.395,Cu,,1,1,ppm,11123.55,-,-,96.42,0.87,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,1,1,1,11015.51,11200.88,11154.25,,,
Standard 3,1:4,STD,2/27/2023 16:22,Fe 238.204,Fe,,1,1,ppm,15443.53,-,-,46.72,0.3,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,1,1,1,15392.74,15484.69,15453.15,,,
Standard 3,1:4,STD,2/27/2023 16:22,Pb 217.000,Pb,,1,1,ppm,393.79,-,-,15.09,3.83,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,1,1,1,381.16,389.7,410.5,,,
Standard 4,1:5,STD,2/27/2023 16:24,Cu 327.395,Cu,,2,2,ppm,22250.75,-,-,104.48,0.47,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,2,2,2,22370.98,22181.88,22199.41,,,
Standard 4,1:5,STD,2/27/2023 16:24,Fe 238.204,Fe,,2,2,ppm,28206.4,-,-,88.19,0.31,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,2,2,2,28302.24,28128.67,28188.29,,,
Standard 4,1:5,STD,2/27/2023 16:24,Pb 217.000,Pb,,2,2,ppm,757.63,-,-,9.71,1.28,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,2,2,2,767.85,748.51,756.52,,,
Standard 5,1:6,STD,2/27/2023 16:26,Cu 327.395,Cu,,4,4,ppm,42104.19,-,-,121.93,0.29,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,4,4,4,41963.45,42178.06,42171.06,,,
Standard 5,1:6,STD,2/27/2023 16:26,Fe 238.204,Fe,,4,4,ppm,56197.88,-,-,131.14,0.23,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,4,4,4,56073.77,56335.06,56184.81,,,
Standard 5,1:6,STD,2/27/2023 16:26,Pb 217.000,Pb,,4,4,ppm,1465.64,-,-,4.1,0.28,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,4,4,4,1466.16,1469.46,1461.3,,,
Standard 6,1:7,STD,2/27/2023 16:28,Cu 327.395,Cu,,6,6,ppm,63720.19,-,-,331.72,0.52,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,6,6,6,63338.18,63886.91,63935.47,,,
Standard 6,1:7,STD,2/27/2023 16:28,Fe 238.204,Fe,,6,6,ppm,85650.42,-,-,384.94,0.45,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,6,6,6,85206.32,85888.5,85856.44,,,
Standard 6,1:7,STD,2/27/2023 16:28,Pb 217.000,Pb,,6,6,ppm,2124.06,-,-,14.72,0.69,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,6,6,6,2112.98,2140.76,2118.43,,,
Standard 7,1:8,STD,2/27/2023 16:29,Cu 327.395,Cu,,8,8,ppm,86485.46,-,-,179.1,0.21,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,8,8,8,86649.81,86294.57,86511.99,,,
Standard 7,1:8,STD,2/27/2023 16:29,Fe 238.204,Fe,,8,8,ppm,111450.05,-,-,296.02,0.27,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,8,8,8,111695.46,111121.28,111533.41,,,
Standard 7,1:8,STD,2/27/2023 16:29,Pb 217.000,Pb,,8,8,ppm,3046.98,-,-,21.52,0.71,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,8,8,8,3071.76,3032.96,3036.21,,,
Standard 8,1:9,STD,2/27/2023 16:31,Cu 327.395,Cu,,10,10,ppm,121229.53,-,-,305.63,0.25,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,10,10,10,121069.73,121581.94,121036.93,,,
Standard 8,1:9,STD,2/27/2023 16:31,Fe 238.204,Fe,,10,10,ppm,164902.64,-,-,476.75,0.29,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,10,10,10,164726.28,165442.44,164539.2,,,
Standard 8,1:9,STD,2/27/2023 16:31,Pb 217.000,Pb,,10,10,ppm,4255.41,-,-,24.79,0.58,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,10,10,10,4264.75,4274.18,4227.31,,,
Standard 9,1:10,STD,2/27/2023 16:33,Cu 327.395,Cu,,25,25,ppm,260135.84,-,-,421.12,0.16,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,25,25,25,259675.19,260501.05,260231.28,,,
Standard 9,1:10,STD,2/27/2023 16:33,Fe 238.204,Fe,,25,25,ppm,342724.11,-,-,548.78,0.16,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,25,25,25,342164.31,343261.17,342746.83,,,
Standard 9,1:10,STD,2/27/2023 16:33,Pb 217.000,Pb,,25,25,ppm,8846.32,-,-,8.63,0.1,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,25,25,25,8839.44,8856.01,8843.52,,,
Standard 10,1:11,STD,2/27/2023 16:39,Cu 327.395,Cu,!,50,50,ppm,514050.58,-,-,2412.11,0.47,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,50,50,50,511930.24,516674.84,513546.64,,,
Standard 10,1:11,STD,2/27/2023 16:39,Fe 238.204,Fe,!,50,50,ppm,705349.38,-,-,4026.03,0.57,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,50,50,50,701969.1,709803.44,704275.61,,,
Standard 10,1:11,STD,2/27/2023 16:39,Pb 217.000,Pb,!,50,50,ppm,18841.19,-,-,87.38,0.46,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,50,50,50,18769.72,18938.61,18815.23,,,
Sample 1,1:12,Sample,2/27/2023 16:41,Cu 327.395,Cu,,Uncal,Uncal,ppm,18127.05,-,-,166.02,0.92,6.93,1,1,1,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,Uncal,Uncal,Uncal,18301.36,18108.98,17970.8,Uncal,Uncal,Uncal
Sample 1,1:12,Sample,2/27/2023 16:41,Fe 238.204,Fe,,Uncal,Uncal,ppm,23903.88,-,-,287.03,1.2,7,1,1,1,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,Uncal,Uncal,Uncal,24225.28,23813.28,23673.08,Uncal,Uncal,Uncal
Sample 1,1:12,Sample,2/27/2023 16:41,Pb 217.000,Pb,,Uncal,Uncal,ppm,655.39,-,-,12.07,1.84,24.35,1,1,1,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,Uncal,Uncal,Uncal,660.59,663.99,641.59,Uncal,Uncal,Uncal
Sample 2,1:13,Sample,2/27/2023 16:43,Cu 327.395,Cu,,Uncal,Uncal,ppm,20610,-,-,16.66,0.08,6.93,1,1,1,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,Uncal,Uncal,Uncal,20621.32,20617.8,20590.87,Uncal,Uncal,Uncal
Sample 2,1:13,Sample,2/27/2023 16:43,Fe 238.204,Fe,,Uncal,Uncal,ppm,52880.07,-,-,147.1,0.28,7,1,1,1,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,Uncal,Uncal,Uncal,52949.59,52979.52,52711.09,Uncal,Uncal,Uncal
Sample 2,1:13,Sample,2/27/2023 16:43,Pb 217.000,Pb,,Uncal,Uncal,ppm,211.2,-,-,1.33,0.63,24.35,1,1,1,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,Uncal,Uncal,Uncal,212.1,209.67,211.84,Uncal,Uncal,Uncal
Sample 3,1:14,Sample,2/27/2023 16:45,Cu 327.395,Cu,,Uncal,Uncal,ppm,32280.3,-,-,25.6,0.08,6.93,1,1,1,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,Uncal,Uncal,Uncal,32264.57,32266.5,32309.84,Uncal,Uncal,Uncal
Sample 3,1:14,Sample,2/27/2023 16:45,Fe 238.204,Fe,,Uncal,Uncal,ppm,69629.84,-,-,35.04,0.05,7,1,1,1,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,Uncal,Uncal,Uncal,69643.41,69590.04,69656.06,Uncal,Uncal,Uncal
Sample 3,1:14,Sample,2/27/2023 16:45,Pb 217.000,Pb,,Uncal,Uncal,ppm,590.87,-,-,8.6,1.46,24.35,1,1,1,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,Uncal,Uncal,Uncal,593.39,581.29,597.93,Uncal,Uncal,Uncal
