BB_DI,MR_DI,BB_SW,MR_SW
0.0998,0.1030,0.097,0.0809
0.0546,0.0995,0.091,0.0548
0.0495,0.1010,0.0891,0.0509
0.1041,0.0919,0.0958,0.0882
0.1018,0.0993,0.0997,0.0928
0.1,0.094,0.1004,0.0916
0.0994,0.122,0.0902,0.0969
0.106,0.106,0.0914,0.0973
0.104,0.102,0.0904,0.0966
0.103,0.1025,0.0983,0.0993
0.1047,0.111,0.1073,0.0974
0.1073,0.1034,0.1075,0.1025
0.1027,0.9841,0.1105,0.0931
0.105,0.103,0.1057,0.0966
0.1044,0.1033,0.1019,0.0975
0.11,0.102,0.106,0.092
0.103,0.1,0.091,0.084
0.105,0.1,0.094,0.091
0.104,0.0968,0.0974,0.0896
0.105,0.0999,0.101,0.0955
0.102,0.100,0.101,0.0923
0.105,0.098,0.099,0.0971
0.102,0.103,0.0997,0.1001
0.105,0.104,0.0992,0.101